UK-AIR ID,EU Site ID,EMEP Site ID,lookupvalue_data,lookup_settelment,Site Name,Environment Type,Zone,Start Date,End Date,Latitude,Longitude,Northing,Easting,Altitude (m),Networks,AURN Pollutants Measured,Site Description
EI1,,,Ealing - Western Avenue,Ealing,Ealing - Western Avenue (Ealing),Urban Traffic,Greater London Urban Area,19/03/2010,,51.523608,-0.265503,181947.04,520430.04,,Locally-managed automatic monitoring,,
EA010,,,Ealing Green Quarter,Ealing,Ealing Green Quarter (Ealing),Suburban Background,Greater London Urban Area,03/11/2021,,51.508321,-0.391312,180047.7,511739.7,,Locally-managed automatic monitoring,,
KILM,,,East Ayrshire Kilmarnock,East Ayrshire,East Ayrshire Kilmarnock (East Ayrshire),Urban Background,Central Scotland,01/01/2008,03/06/2009,55.616583,-4.515449,638759.11,241679.35,,Locally-managed automatic monitoring,,
FINI,,,East Ayrshire Kilmarnock John Finnie St,East Ayrshire,East Ayrshire Kilmarnock John Finnie St (East Ayrshire),Urban Traffic,Central Scotland,01/04/2010,08/06/2015,55.61095,-4.499021,638095,242691,,Locally-managed automatic monitoring,,
CUMN,,,East Ayrshire New Cumnock,East Ayrshire,East Ayrshire New Cumnock (East Ayrshire),Urban Background,Central Scotland,17/01/2009,10/11/2011,55.39595,-4.18346,613503,261812,,Locally-managed automatic monitoring,,
EDB2,,,East Dunbartonshire Bearsden,East Dunbartonshire,East Dunbartonshire Bearsden (East Dunbartonshire),Urban Traffic,Glasgow Urban Area,01/11/2005,,55.919596,-4.333505,672072.75,254271.48,,Locally-managed automatic monitoring,,
EDB1,,,East Dunbartonshire Bishopbriggs,East Dunbartonshire,East Dunbartonshire Bishopbriggs (East Dunbartonshire),Urban Traffic,Glasgow Urban Area,04/12/2003,,55.904167,-4.225,670132.48,260995.7,,Locally-managed automatic monitoring,,
EDB3,,,East Dunbartonshire Kirkintilloch,East Dunbartonshire,East Dunbartonshire Kirkintilloch (East Dunbartonshire),Urban Traffic,Central Scotland,03/08/2007,,55.935921,-4.151759,673520.86,265683.75,,Locally-managed automatic monitoring,,
EDB4,,,East Dunbartonshire Milngavie ,East Dunbartonshire,East Dunbartonshire Milngavie  (East Dunbartonshire),Urban Traffic,Glasgow Urban Area,01/08/2011,,55.938253,-4.317753,674115.52,255325.27,,Locally-managed automatic monitoring,,
BORD,,,East Hampshire Bordon,East Hampshire,East Hampshire Bordon (East Hampshire),Urban Traffic,South East,14/10/2002,13/09/2017,51.111944,-0.863611,135352.75,479645.63,,Locally-managed automatic monitoring,,
HB106,,,East Herts Anstey,East Hertfordshire,East Herts Anstey (East Hertfordshire),Rural Background,Eastern,17/05/2011,02/06/2015,51.976111,0.043333,232820.68,540444.39,,Locally-managed automatic monitoring,,
HB107,,,East Herts Bishop's Stortford,East Hertfordshire,East Herts Bishop's Stortford (East Hertfordshire),Urban Traffic,Eastern,20/08/2004,30/11/2005,51.878611,0.104167,222097.17,544935.93,,Locally-managed automatic monitoring,,
HB012,,,East Herts Hertford Gascoyne Way,East Hertfordshire,East Herts Hertford Gascoyne Way (East Hertfordshire),Urban Traffic,Eastern,22/08/2016,,51.795569,-0.076225,212518.78,532763.76,,Locally-managed automatic monitoring,,
HB108,,,East Herts Sawbridgeworth Background,East Hertfordshire,East Herts Sawbridgeworth Background (East Hertfordshire),Urban Background,Eastern,30/06/1998,02/06/2015,51.819444,0.153889,215617.59,548552.71,,Locally-managed automatic monitoring,,
HB109,,,East Herts Sawbridgeworth Roadside,East Hertfordshire,East Herts Sawbridgeworth Roadside (East Hertfordshire),Urban Traffic,Eastern,10/10/2001,02/06/2015,51.8175,0.148889,215391.24,548214.5,,Locally-managed automatic monitoring,,
HB110,,,East Herts Throcking,East Hertfordshire,East Herts Throcking (East Hertfordshire),Rural Background,Eastern,17/06/1997,27/07/2009,51.953056,-0.060278,230061.83,533396.86,,Locally-managed automatic monitoring,,
HB111,,,East Herts Ware,East Hertfordshire,East Herts Ware (East Hertfordshire),Urban Traffic,Eastern,20/08/2004,05/01/2005,51.785278,-0.063889,211396.86,533644.79,,Locally-managed automatic monitoring,,
EK,,,East Kilbride,South Lanarkshire,East Kilbride (South Lanarkshire),Suburban Background,Central Scotland,08/05/1975,09/10/1975,55.754722,-4.173056,653400.78,263720.45,,Locally-managed automatic monitoring,,
MUSS,,,East Lothian Musselburgh N High St,East Lothian,East Lothian Musselburgh N High St (East Lothian),Urban Traffic,Edinburgh Urban Area,01/01/2008,,55.944008,-3.059223,672836,333941,,Locally-managed automatic monitoring,,
SHED,,,East Renfrewshire Sheddens,East Renfrewshire,East Renfrewshire Sheddens (East Renfrewshire),Urban Traffic,Glasgow Urban Area,01/05/2008,03/09/2014,55.786253,-4.274733,657113.88,257455.78,,Locally-managed automatic monitoring,,
ES1,,,East Staffordshire Derby Turn,East Staffordshire,East Staffordshire Derby Turn (East Staffordshire),Urban Traffic,West Midlands,24/07/2009,,52.81306,-1.63556,324008.4,424661.05,,Locally-managed automatic monitoring,,
SCW2,,,East Suffolk Woodbridge 2,Suffolk Coastal,East Suffolk Woodbridge 2 (Suffolk Coastal),Urban Traffic,Eastern,03/01/2006,,52.094862,1.321286,249262,627598,,Locally-managed automatic monitoring,,
EB1,,,Eastbourne - Devonshire Park,Eastbourne,Eastbourne - Devonshire Park (Eastbourne),Urban Background,South East,01/06/2000,,50.762334,0.283593,98346.11,561148.6,,Locally-managed automatic monitoring,,
ES2,,,Eastleigh - Steele Close,Eastleigh,Eastleigh - Steele Close (Eastleigh),Urban Background,Southampton Urban Area,01/01/2016,,50.975001,-1.375514,119695.27,443941.01,,Locally-managed automatic monitoring,,
ES3,,,Eastleigh - The Point,Eastleigh,Eastleigh - The Point (Eastleigh),Not Available,Southampton Urban Area,01/01/2019,,50.96995,-1.356084,119145.27,445310.01,,Locally-managed automatic monitoring,,
ED11,,,Edinburgh Currie,"Edinburgh, City of","Edinburgh Currie (Edinburgh, City of)",Suburban Background,Edinburgh Urban Area,01/01/2013,,55.896909,-3.31966,667874.3,317575.4,,Locally-managed automatic monitoring,,
ED10,,,Edinburgh Glasgow Road,"Edinburgh, City of","Edinburgh Glasgow Road (Edinburgh, City of)",Urban Traffic,Central Scotland,04/09/2012,,55.939026,-3.392727,672651,313101,,Locally-managed automatic monitoring,,
ED5,,,Edinburgh Gorgie Road,"Edinburgh, City of","Edinburgh Gorgie Road (Edinburgh, City of)",Urban Traffic,Edinburgh Urban Area,01/01/2005,,55.937708,-3.232267,672314,323121,,Locally-managed automatic monitoring,,
ED6,,,Edinburgh Haymarket,"Edinburgh, City of","Edinburgh Haymarket (Edinburgh, City of)",Urban Traffic,Edinburgh Urban Area,01/01/2007,22/01/2009,55.945833,-3.220556,673205.29,323868.49,,Locally-managed automatic monitoring,,
EDNS,,,Edinburgh Nicolson Street,"Edinburgh, City of","Edinburgh Nicolson Street (Edinburgh, City of)",Urban Traffic,Edinburgh Urban Area,04/12/2019,,55.94476,-3.183991,673046,326150,,Locally-managed automatic monitoring,,
ED7,,,Edinburgh Queen Street,"Edinburgh, City of","Edinburgh Queen Street (Edinburgh, City of)",Urban Traffic,Edinburgh Urban Area,01/01/2007,01/07/2016,55.953837,-3.205481,674079.54,324825.48,,Locally-managed automatic monitoring,,
ED9,,,Edinburgh Queensferry Road,"Edinburgh, City of","Edinburgh Queensferry Road (Edinburgh, City of)",Urban Traffic,Edinburgh Urban Area,01/01/2011,,55.960497,-3.30325,674931.5,318734.92,,Locally-managed automatic monitoring,,
ED4,,,Edinburgh Roseburn,"Edinburgh, City of","Edinburgh Roseburn (Edinburgh, City of)",Urban Traffic,Edinburgh Urban Area,01/05/2006,15/08/2011,55.945833,-3.235278,673221.62,322949.08,,Locally-managed automatic monitoring,,
ED8,,,Edinburgh Salamander St,"Edinburgh, City of","Edinburgh Salamander St (Edinburgh, City of)",Urban Traffic,Edinburgh Urban Area,17/09/2009,,55.974594,-3.161455,676342.55,327613.24,,Locally-managed automatic monitoring,,
ED1,,,Edinburgh St John's Road,"Edinburgh, City of","Edinburgh St John's Road (Edinburgh, City of)",Urban Traffic,Edinburgh Urban Area,03/01/2007,,55.9425,-3.281111,672902.79,320079.88,,Locally-managed automatic monitoring,,
ED012,,,Edinburgh Tower Street,"Edinburgh, City of","Edinburgh Tower Street (Edinburgh, City of)",Urban Traffic,Edinburgh Urban Area,16/10/2018,,55.976262,-3.163964,676530.8,327459.8,,Locally-managed automatic monitoring,,
EL1,,,Elmbridge - Bell Farm Hersham,Elmbridge,Elmbridge - Bell Farm Hersham (Elmbridge),Not Available,Greater London Urban Area,01/01/2001,06/04/2009,51.372348,-0.400919,164912.1,511403.04,,Locally-managed automatic monitoring,,
EL2,,,Elmbridge - Esher High Street,Elmbridge,Elmbridge - Esher High Street (Elmbridge),Not Available,Greater London Urban Area,20/09/2005,18/07/2008,51.370723,-0.363321,164789.1,514024.04,,Locally-managed automatic monitoring,,
EL3,,,Elmbridge - Hampton Court Parade,Elmbridge,Elmbridge - Hampton Court Parade (Elmbridge),Not Available,Greater London Urban Area,01/01/2009,,51.401915,-0.343317,168289.09,515338.04,,Locally-managed automatic monitoring,,
EL4,,,Elmbridge - Walton High Street,Elmbridge,Elmbridge - Walton High Street (Elmbridge),Not Available,Greater London Urban Area,18/07/2008,08/04/2009,51.385533,-0.418942,166351.1,510117.04,,Locally-managed automatic monitoring,,
EL3,,,Elmbridge Hampton Court Parade,Elmbridge,Elmbridge Hampton Court Parade (Elmbridge),Urban Traffic,Greater London Urban Area,01/01/2009,,51.401944,-0.343333,168292.25,515336.82,,Locally-managed automatic monitoring,,
EL5,,,Elmbridge Weybridge High St,Elmbridge,Elmbridge Weybridge High St (Elmbridge),Urban Traffic,Greater London Urban Area,08/10/2010,01/02/2020,51.373333,-0.4575,164937.26,507462.57,,Locally-managed automatic monitoring,,
EL6,,,Elmbridge Weybridge High St 2,Elmbridge,Elmbridge Weybridge High St 2 (Elmbridge),Urban Traffic,Greater London Urban Area,09/09/2019,,51.374333,-0.4585,165047,507390.63,,Locally-managed automatic monitoring,,
EN5,,,Enfield - Bowes Primary School,Enfield,Enfield - Bowes Primary School (Enfield),Urban Traffic,Greater London Urban Area,22/07/2004,,51.613865,-0.125338,192223.83,529896.12,,Locally-managed automatic monitoring,,
EN1,,,Enfield - Bush Hill Park,Enfield,Enfield - Bush Hill Park (Enfield),Suburban Background,Greater London Urban Area,29/06/1995,,51.645037,-0.06618,195796.99,533900.05,,Locally-managed automatic monitoring,,
EN2,,,Enfield - Church Street,Enfield,Enfield - Church Street (Enfield),Urban Traffic,Greater London Urban Area,31/12/1997,14/09/2006,51.652436,-0.084225,196586.99,532630.05,,Locally-managed automatic monitoring,,
EN4,,,Enfield - Derby Road,Enfield,Enfield - Derby Road (Enfield),Urban Traffic,Greater London Urban Area,29/02/2000,,51.614864,-0.050766,192470,535056,,Locally-managed automatic monitoring,,
EN7,,,Enfield - Prince of Wales School,Enfield,Enfield - Prince of Wales School (Enfield),Urban Background,Greater London Urban Area,09/07/2012,,51.668643,-0.022007,198503.98,536885.05,,Locally-managed automatic monitoring,,
EN3,,,Enfield - Salisbury School,Enfield,Enfield - Salisbury School (Enfield),Urban Background,Greater London Urban Area,03/11/1998,28/07/2008,51.637479,-0.044246,194997,535440.05,,Locally-managed automatic monitoring,,
EWE2,,,Ewell High Street,Epsom and Ewell,Ewell High Street (Epsom and Ewell),Urban Traffic,Greater London Urban Area,01/01/2015,04/01/2017,51.349927,-0.249748,162659,521984,,Locally-managed automatic monitoring,,
FAL7,,,Falkirk Banknock,Falkirk,Falkirk Banknock (Falkirk),Urban Traffic,Central Scotland,01/01/2013,04/06/2020,55.988456,-3.969288,679027,277247,,Locally-managed automatic monitoring,,
FAL09,,,Falkirk Bo'ness,Falkirk,Falkirk Bo'ness (Falkirk),Urban Traffic,Central Scotland,07/04/2016,,56.015766,-3.608622,681483.6,299815,,Locally-managed automatic monitoring,,
FAL11,,,Falkirk Graham's Road,Falkirk,Falkirk Graham's Road (Falkirk),Urban Traffic,Central Scotland,21/12/2011,10/10/2018,56.002188,-3.784352,680241,288822,,Locally-managed automatic monitoring,,
FALK,,,Falkirk Grangemouth MC,Falkirk,Falkirk Grangemouth MC (Falkirk),Urban Background,Central Scotland,01/07/2007,,56.018951,-3.721013,682006.92,292818.05,,Locally-managed automatic monitoring,,
FAL8,,,Falkirk Grangemouth Zetland Park,Falkirk,Falkirk Grangemouth Zetland Park (Falkirk),Urban Traffic,Central Scotland,06/05/2015,,56.010894,-3.718233,681106,292969,,Locally-managed automatic monitoring,,
FAL5,,,Falkirk Haggs,Falkirk,Falkirk Haggs (Falkirk),Urban Traffic,Central Scotland,01/01/2009,,55.991087,-3.941685,679271,278977,,Locally-managed automatic monitoring,,
FAL3,,,Falkirk Hope St,Falkirk,Falkirk Hope St (Falkirk),Urban Traffic,Central Scotland,01/07/2007,,56.001956,-3.786485,680219.33,288688.39,,Locally-managed automatic monitoring,,
FAL10,,,Falkirk Main St Bainsford,Falkirk,Falkirk Main St Bainsford (Falkirk),Urban Traffic,Central Scotland,09/06/2015,,56.013572,-3.789022,681516.1,288563.7,,Locally-managed automatic monitoring,,
FAL2,,,Falkirk Park St,Falkirk,Falkirk Park St (Falkirk),Urban Traffic,Central Scotland,01/07/2007,28/04/2014,56.000657,-3.7831,680069.33,288895.73,,Locally-managed automatic monitoring,,
FAL6,,,Falkirk West Bridge Street,Falkirk,Falkirk West Bridge Street (Falkirk),Urban Traffic,Central Scotland,07/11/2007,,56.000507,-3.790128,680064,288457,,Locally-managed automatic monitoring,,
FAR2,,,Fareham Portland Street,Fareham,Fareham Portland Street (Fareham),Urban Traffic,Portsmouth Urban Area,20/04/2012,30/06/2019,50.850875,-1.17806,106028,457957.54,,Locally-managed automatic monitoring,,
WA004,,,Farnham South Street,Waverley,Farnham South Street (Waverley),Urban Traffic,South East,08/04/2021,,51.214726,-0.79633,146857.5,484168.3,,Locally-managed automatic monitoring,,
WA002,,,Farnham The Woolmead,Waverley,Farnham The Woolmead (Waverley),Urban Traffic,South East,01/01/2018,07/04/2021,51.215763,-0.797453,146971.51,484087.93,,Locally-managed automatic monitoring,,
FFES,,,Ffestiniog Railway,Gwynedd,Ffestiniog Railway (Gwynedd),Not Available,,15/04/2011,17/01/2012,52.924084,-4.126635,338415,257132,,Locally-managed automatic monitoring,,
CUPA,,,Fife Cupar,Fife,Fife Cupar (Fife),Urban Traffic,Central Scotland,19/12/2005,,56.319444,-3.014167,714578.52,337369.34,,Locally-managed automatic monitoring,,
DUNF,,,Fife Dunfermline,Fife,Fife Dunfermline (Fife),Urban Traffic,Central Scotland,01/08/2007,,56.07383,-3.44862,687724.72,309924.49,,Locally-managed automatic monitoring,,
KINC,,,Fife Kincardine,Fife,Fife Kincardine (Fife),Urban Traffic,Central Scotland,01/01/2006,11/05/2007,56.068611,-3.716944,687526.91,293209.09,,Locally-managed automatic monitoring,,
KIR,,,Fife Kirkcaldy,Fife,Fife Kirkcaldy (Fife),Urban Traffic,Central Scotland,08/02/2011,,56.124331,-3.141347,692986.35,329143.57,,Locally-managed automatic monitoring,,
ROSY,,,Fife Rosyth,Fife,Fife Rosyth (Fife),Urban Traffic,Central Scotland,13/03/2008,,56.036243,-3.417582,683501.59,311770.51,,Locally-managed automatic monitoring,,
FLIN,,,Flintshire,Flintshire,Flintshire (Flintshire),Urban Traffic,North Wales,13/03/2003,16/03/2004,53.197601,-3.039291,367229,330668,,Locally-managed automatic monitoring,,
ZF1,,,Folkestone Suburban,Shepway,Folkestone Suburban (Shepway),Suburban Background,South East,15/07/1997,24/01/2012,51.08706,1.159499,136720,621365,,Locally-managed automatic monitoring,,
GA1,,,Gateshead A1 Dunston,Gateshead,Gateshead A1 Dunston (Gateshead),Urban Traffic,Tyneside,01/01/2015,,54.951529,-1.649945,561931.61,422518.15,,Locally-managed automatic monitoring,,
GA006,,,Gateshead Angel of the North,Gateshead,Gateshead Angel of the North (Gateshead),Urban Traffic,North East,01/01/2020,,54.912184,-1.58501,557576,426702,,Locally-managed automatic monitoring,,
GA2,,,Gateshead Bottle Bank,Gateshead,Gateshead Bottle Bank (Gateshead),Urban Traffic,Tyneside,01/01/2015,,54.965944,-1.604438,563551.24,425423.68,,Locally-managed automatic monitoring,,
GA4,,,Gateshead Clara Vale,Gateshead,Gateshead Clara Vale (Gateshead),Urban Background,North East,29/04/2015,22/07/2015,54.979425,-1.791531,564999,413440,,Locally-managed automatic monitoring,,
GA3,,,Gateshead Lychgate Court,Gateshead,Gateshead Lychgate Court (Gateshead),Urban Traffic,Tyneside,01/01/2015,,54.962008,-1.597121,563115.91,425894.66,,Locally-managed automatic monitoring,,
GA005,,,Gateshead Tyne Bridge,Gateshead,Gateshead Tyne Bridge (Gateshead),Urban Traffic,Tyneside,06/04/2018,,54.965696,-1.603455,563524,425487,,Locally-managed automatic monitoring,,
GED,,,Gedling Daybrook,Gedling,Gedling Daybrook (Gedling),Urban Traffic,Nottingham Urban Area,01/01/2008,,52.995556,-1.138056,344595.01,457949.67,,Locally-managed automatic monitoring,,
GL1,,,Glasgow Abercromby Street,Glasgow City,Glasgow Abercromby Street (Glasgow City),Urban Traffic,Glasgow Urban Area,16/03/2007,29/06/2019,55.850556,-4.231111,664179.65,260421.31,,Locally-managed automatic monitoring,,
GLA5,,,Glasgow Anderston,Glasgow City,Glasgow Anderston (Glasgow City),Urban Background,Glasgow Urban Area,01/01/2005,,55.861667,-4.271389,665497.95,257940.81,,Locally-managed automatic monitoring,,
GLA8,,,Glasgow Battlefield Road,Glasgow City,Glasgow Battlefield Road (Glasgow City),Urban Traffic,Glasgow Urban Area,02/06/2005,20/02/2012,55.824852,-4.261541,661381.51,258423.16,,Locally-managed automatic monitoring,,
GL3,,,Glasgow Broomhill,Glasgow City,Glasgow Broomhill (Glasgow City),Urban Traffic,Glasgow Urban Area,23/10/2007,,55.87603,-4.318754,667194.37,255030.58,,Locally-managed automatic monitoring,,
GL6,,,Glasgow Burgher St.,Glasgow City,Glasgow Burgher St. (Glasgow City),Urban Traffic,Glasgow Urban Area,28/07/2011,,55.851071,-4.19714,664168.91,262549.48,,Locally-managed automatic monitoring,,
GLA6,,,Glasgow Byres Road,Glasgow City,Glasgow Byres Road (Glasgow City),Urban Traffic,Glasgow Urban Area,01/01/2005,,55.874167,-4.294722,666936.95,256526.91,,Locally-managed automatic monitoring,,
GL9,,,Glasgow Dumbarton Road,Glasgow City,Glasgow Dumbarton Road (Glasgow City),Urban Traffic,Glasgow Urban Area,01/05/2012,,55.870766,-4.318448,666608,255030,,Locally-managed automatic monitoring,,
GLAS,,,Glasgow Hope St,Glasgow City,Glasgow Hope St (Glasgow City),Urban Traffic,Glasgow Urban Area,27/06/1973,28/10/1982,55.858333,-4.257778,665099.11,258780.4,,Locally-managed automatic monitoring,,
GL2,,,Glasgow Nithsdale Road,Glasgow City,Glasgow Nithsdale Road (Glasgow City),Urban Traffic,Glasgow Urban Area,23/03/2007,,55.836256,-4.270768,662669.31,257886.88,,Locally-managed automatic monitoring,,
GLA7,,,Glasgow Waulkmillglen Reservoir,East Renfrewshire,Glasgow Waulkmillglen Reservoir (East Renfrewshire),Rural Background,Central Scotland,01/01/2005,,55.79412,-4.354968,658157.36,252455.25,,Locally-managed automatic monitoring,,
WA001,,,Godalming Ockford Road 2,Waverley,Godalming Ockford Road 2 (Waverley),Urban Traffic,South East,01/01/2018,,51.184411,-0.617628,143705.87,496712.8,,Locally-managed automatic monitoring,,
FAR1,,,Gosport Road,Fareham,Gosport Road (Fareham),Urban Traffic,Portsmouth Urban Area,01/04/2012,30/06/2019,50.844177,-1.183323,105279,457595,,Locally-managed automatic monitoring,,
NLGR,,,Grange Lane,North Lincolnshire,Grange Lane (North Lincolnshire),Urban Industrial,Yorkshire & Humberside,15/03/2011,12/03/2012,53.573559,-0.629393,409424,490856,,Locally-managed automatic monitoring,,
GRA2,,,Grangemouth Moray,Falkirk,Grangemouth Moray (Falkirk),Urban Industrial,Central Scotland,01/01/2007,,56.013142,-3.710833,681344.72,293436.55,,Locally-managed automatic monitoring,,
ZG2,,,Gravesham A2 Roadside,Gravesham,Gravesham A2 Roadside (Gravesham),Urban Traffic,South East,02/01/1999,,51.424402,0.337194,172079.13,562590.68,,Locally-managed automatic monitoring,,
ZG1,,,Gravesham Background,Gravesham,Gravesham Background (Gravesham),Urban Background,Greater London Urban Area,25/04/1997,24/08/2001,51.432159,0.345421,172960,563135,,Locally-managed automatic monitoring,,
ZG3,,,Gravesham Industrial Background,Gravesham,Gravesham Industrial Background (Gravesham),Urban Background,Greater London Urban Area,01/01/1999,,51.444999,0.332033,174358.24,562159.16,,Locally-managed automatic monitoring,,
GYSD,,,Great Yarmouth South Denes,Great Yarmouth,Great Yarmouth South Denes (Great Yarmouth),Urban Background,Eastern,01/01/2018,,52.589847,1.733513,305664,652983,,Locally-managed automatic monitoring,,
GN0,,,Greenwich - A206 Burrage Grove,Greenwich,Greenwich - A206 Burrage Grove (Greenwich),Urban Traffic,Greater London Urban Area,07/10/2004,,51.490532,0.074003,178881.92,544085.88,,Locally-managed automatic monitoring,,
GR7,,,Greenwich - Blackheath,Greenwich,Greenwich - Blackheath (Greenwich),Urban Traffic,Greater London Urban Area,08/03/2002,,51.472504,-0.012381,176710.82,538143.58,,Locally-managed automatic monitoring,,
GB6,,,Greenwich - Falconwood,Greenwich,Greenwich - Falconwood (Greenwich),Urban Traffic,Greater London Urban Area,18/10/2000,,51.4563,0.085606,175098.22,544999.78,,Locally-managed automatic monitoring,,
GB0,,,Greenwich - Falconwood FDMS,Greenwich,Greenwich - Falconwood FDMS (Greenwich),Urban Traffic,Greater London Urban Area,17/03/2009,,51.4563,0.085606,175098.22,544999.78,,Locally-managed automatic monitoring,,
GN4,,,Greenwich - Fiveways Sidcup Rd A20,Greenwich,Greenwich - Fiveways Sidcup Rd A20 (Greenwich),Urban Traffic,Greater London Urban Area,13/02/2011,,51.434663,0.064222,172650.07,543582.05,,Locally-managed automatic monitoring,,
GN6,,,Greenwich - John Harrison Way,Greenwich,Greenwich - John Harrison Way (Greenwich),Not Available,Greater London Urban Area,02/07/2018,,51.493775,0.01078,179120.05,539687.05,,Locally-managed automatic monitoring,,
GN2,,,Greenwich - Millennium Village,Greenwich,Greenwich - Millennium Village (Greenwich),Urban Industrial,Greater London Urban Area,01/08/2004,20/10/2016,51.492571,0.017697,178999.42,540170.91,,Locally-managed automatic monitoring,,
GN3,,,Greenwich - Plumstead High Street,Greenwich,Greenwich - Plumstead High Street (Greenwich),Urban Traffic,Greater London Urban Area,27/01/2006,,51.486957,0.095111,178526.11,545562.55,,Locally-managed automatic monitoring,,
GR5,,,Greenwich - Trafalgar Road,Greenwich,Greenwich - Trafalgar Road (Greenwich),Urban Traffic,Greater London Urban Area,27/11/1996,02/12/2015,51.483449,-0.000146,177951.06,538960.05,,Locally-managed automatic monitoring,,
GN5,,,Greenwich - Trafalgar Road,Hoskins St Greenwich,Greenwich - Trafalgar Road (Hoskins St) (Greenwich),Not Available,Greater London Urban Area,12/10/2017,,51.483907,0.000407,178003.06,538997.05,,Locally-managed automatic monitoring,,
GR9,,,Greenwich - Westhorne Avenue,Greenwich,Greenwich - Westhorne Avenue (Greenwich),Urban Traffic,Greater London Urban Area,16/11/2004,,51.456357,0.040725,175016.72,541881.67,,Locally-managed automatic monitoring,,
GR8,,,Greenwich - Woolwich Flyover,Greenwich,Greenwich - Woolwich Flyover (Greenwich),Urban Traffic,Greater London Urban Area,08/07/2004,,51.486884,0.017901,178367.41,540202.5,,Locally-managed automatic monitoring,,
GLF2,,,Guildford Gyratory,Guildford,Guildford Gyratory (Guildford),Suburban Background,South East,01/05/2002,31/12/2010,51.23572,-0.577885,149464.59,499380,,Locally-managed automatic monitoring,,
HF5,,,H&F Hammersmith Town Centre,Hammersmith and Fulham,H&F Hammersmith Town Centre (Hammersmith and Fulham),Urban Traffic,Greater London Urban Area,05/03/2019,,51.492695,-0.224787,178577.12,523337.93,,Locally-managed automatic monitoring,,
HF4,,,H&F Shepherd's Bush,Hammersmith and Fulham,H&F Shepherd's Bush (Hammersmith and Fulham),Urban Traffic,Greater London Urban Area,31/10/2011,,51.504563,-0.22467,179897,523314,,Locally-managed automatic monitoring,,
HK6,,,Hackney - Old Street,Hackney,Hackney - Old Street (Hackney),Urban Traffic,Greater London Urban Area,01/06/2000,,51.526454,-0.08491,182575.96,532949.65,,Locally-managed automatic monitoring,,
CAE6,,,Hafod-yr-ynys Roadside,Caerphilly,Hafod-yr-ynys Roadside (Caerphilly),Urban Traffic,South Wales,01/10/2011,13/10/2014,51.680579,-3.133508,198588,321727,,Locally-managed automatic monitoring,,
WID2,,,Halton Marzahn Way,Halton,Halton Marzahn Way (Halton),Urban Traffic,North West & Merseyside,01/11/2015,,53.371193,-2.722289,386280,352040,,Locally-managed automatic monitoring,,
WID1,,,Halton Widnes Milton Rd,Halton,Halton Widnes Milton Rd (Halton),Urban Traffic,North West & Merseyside,01/11/2015,,53.365391,-2.73168,385640.92,351408.56,,Locally-managed automatic monitoring,,
KIBW,,,Harborough,Harborough,Harborough (Harborough),Not Available,East Midlands,14/03/2019,,52.543049,-0.996687,294383.16,468139.59,,Locally-managed automatic monitoring,,
HG3,,,Haringey - Bounds Green,Haringey,Haringey - Bounds Green (Haringey),Urban Traffic,Greater London Urban Area,21/06/1999,11/03/2001,51.60595,-0.123441,191347.01,530050.05,,Locally-managed automatic monitoring,,
HG005,,,Haringey Wood Green,Haringey,Haringey Wood Green (Haringey),Urban Traffic,Greater London Urban Area,04/05/2021,,51.593339,-0.106973,189974,531226.7,,Locally-managed automatic monitoring,,
HR2,,,Harrow - Pinner Road,Harrow,Harrow - Pinner Road (Harrow),Urban Traffic,Greater London Urban Area,16/06/2003,,51.588417,-0.362989,188998.51,513505.91,,Locally-managed automatic monitoring,,
HT1,,,Hastings - Bulverhythe,Hastings,Hastings - Bulverhythe (Hastings),Urban Traffic,South East,01/01/2016,,50.850797,0.52221,108728.41,577639.46,,Locally-managed automatic monitoring,,
SM3,,,Hastings Mobile,Hastings,Hastings Mobile (Hastings),Urban Traffic,South East,30/07/2014,20/04/2015,50.880528,0.536861,112069.29,578557.06,,Locally-managed automatic monitoring,,
HB016,,,Hatfield West View,Welwyn Hatfield,Hatfield West View (Welwyn Hatfield),Urban Traffic,Eastern,23/09/2020,,51.770438,-0.231875,209452.2,522098.5,,Locally-managed automatic monitoring,,
HV2,,,Havering - Harold Hill,Havering,Havering - Harold Hill (Havering),Suburban Background,Greater London Urban Area,31/03/1998,12/11/2000,51.606599,0.22536,192097.01,554200.06,,Locally-managed automatic monitoring,,
HV1,,,Havering - Rainham,Havering,Havering - Rainham (Havering),Urban Traffic,Greater London Urban Area,01/01/1996,,51.520787,0.205461,182513.04,553110.05,,Locally-managed automatic monitoring,,
HV3,,,Havering - Romford,Havering,Havering - Romford (Havering),Urban Traffic,Greater London Urban Area,23/12/1998,,51.572976,0.179079,188261.53,551107,,Locally-managed automatic monitoring,,
LHRBR,,,Heathrow Bath Road,Hillingdon,Heathrow Bath Road (Hillingdon),Urban Traffic,Greater London Urban Area,19/11/2019,,51.481071,-0.442092,176941.1,508280.3,,Locally-managed automatic monitoring,,
T55,,,Heathrow Green Gates,Hillingdon,Heathrow Green Gates (Hillingdon),Suburban Industrial,Greater London Urban Area,04/05/2001,,51.481478,-0.486675,176921.39,505183.59,,Locally-managed automatic monitoring,,
LHR2,,,Heathrow LHR2,Hillingdon,Heathrow LHR2 (Hillingdon),Suburban Industrial,Greater London Urban Area,01/01/1993,,51.479167,-0.440556,176731.58,508391.44,,Locally-managed automatic monitoring,,
